message,severity,attributes,tags,timestamp
    +-+---------------- 1 ----------------,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964255501Z
      | Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964259281Z
"      |   File ""/usr/local/lib/python3.11/site-packages/mcp/server/streamable_http_manager.py"", line 145, in run",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964263211Z
      |     yield  # Let the application run,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964266330Z
      |     ^^^^^,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964270040Z
"      |   File ""/usr/local/lib/python3.11/site-packages/fastmcp/server/http.py"", line 670, in lifespan",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964273250Z
      |     yield,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964276920Z
"      |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/api/__init__.py"", line 87, in chained_lifespan",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964280570Z
      |     async with original_lifespan(app_instance):,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964284790Z
"      |   File ""/usr/local/lib/python3.11/contextlib.py"", line 210, in __aenter__",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964287950Z
      |     return await anext(self.gen),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964291190Z
      |            ^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964295830Z
"      |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/api/http.py"", line 3718, in lifespan",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964299400Z
      |     await memory.initialize(),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.964302470Z
"      |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/engine/memory_engine.py"", line 3689, in initialize",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965636827Z
"      |     await asyncio.wait_for(asyncio.gather(*init_tasks), timeout=init_timeout)",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965641817Z
"      |   File ""/usr/local/lib/python3.11/asyncio/tasks.py"", line 489, in wait_for",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965645957Z
      |     return fut.result(),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965649647Z
      |            ^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965653157Z
"      |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/engine/memory_engine.py"", line 3551, in start_pg0",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965657097Z
      |     self.db_url = await pg0.ensure_running(),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965660337Z
      |                   ^^^^^^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965664877Z
"      |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/pg0.py"", line 131, in ensure_running",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965669977Z
      |     return await self.start(),error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965674747Z
      |            ^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965678867Z
"      |   File ""/usr/local/lib/python3.11/site-packages/hindsight_api/pg0.py"", line 92, in start",error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965683267Z
      |     raise RuntimeError(,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965688007Z
      | RuntimeError: Failed to start embedded PostgreSQL after 5 attempts. Last error: Error: The bundled PostgreSQL binary is missing required system libraries:,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965692197Z
      |   libgssapi_krb5.so.2 => not found,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965696237Z
      | ,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965701107Z
      | Install the missing libraries using your system package manager. For example:,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965705366Z
      |   Arch Linux:    sudo pacman -S <package>,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965709886Z
      |   Ubuntu/Debian: sudo apt install <package>,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.965714426Z
      |   Fedora/RHEL:   sudo dnf install <package>,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.966636508Z
      +------------------------------------,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.966640968Z
,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.966643928Z
ERROR:    Application startup failed. Exiting.,error,"{""level"":""error""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:48.966647348Z
,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354185920Z
  [38;2;9;127;184m▄[0m[48;2;8;130;178m[38;2;5;133;186m▄[0m       [48;2;10;143;160m[38;2;10;143;165m▄[0m[38;2;7;140;156m▄[0m,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354192630Z
 [38;2;8;125;192m▄[0m [38;2;3;132;191m▀[0m[38;2;2;133;192m▄[0m [38;2;3;132;180m▄[0m[38;2;1;137;184m▄[0m[38;2;3;133;174m▄[0m [38;2;3;142;176m▄[0m[38;2;4;142;169m▀[0m [38;2;10;144;164m▄[0m,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354197479Z
[38;2;6;121;195m▀[0m[38;2;5;128;203m▀[0m[48;2;5;124;195m[38;2;3;125;200m▄[0m[38;2;2;126;196m▄[0m[48;2;3;128;188m[38;2;1;131;196m▄[0m[48;2;0;152;219m[38;2;2;131;191m▄[0m[38;2;1;141;196m▀[0m[38;2;1;135;183m▀[0m[38;2;1;148;198m▀[0m[48;2;1;156;202m[38;2;2;135;180m▄[0m[48;2;4;134;169m[38;2;1;137;177m▄[0m[38;2;3;138;173m▄[0m[48;2;6;137;165m[38;2;2;140;170m▄[0m[38;2;7;144;169m▀[0m[38;2;7;139;158m▀[0m,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354201969Z
   [48;2;2;128;202m[38;2;2;124;201m▄[0m[48;2;1;130;201m[38;2;0;135;212m▄[0m[38;2;2;128;196m▄[0m [48;2;2;142;204m[38;2;7;138;199m▄[0m [38;2;1;135;186m▄[0m[48;2;1;142;186m[38;2;2;144;194m▄[0m[48;2;3;138;176m[38;2;2;134;176m▄[0m,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354206139Z
 [48;2;8;118;200m[38;2;8;121;209m▄[0m[38;2;3;121;203m▀[0m [38;2;3;122;192m▀[0m[38;2;1;138;216m▀[0m[48;2;0;138;210m[38;2;3;128;198m▄[0m[48;2;0;126;188m[38;2;2;131;198m▄[0m[48;2;0;142;205m[38;2;3;132;193m▄[0m[38;2;1;140;196m▀[0m  [38;2;4;134;175m▀[0m[48;2;13;135;167m[38;2;8;136;174m▄[0m ,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354210839Z
,info,"{""level"":""info""}","{""project"":""9b08be93-b288-4772-8ccc-29b724851bf0"",""environment"":""9d75ea4a-b853-442d-a363-25a181446f91"",""service"":""415d2f9a-8e64-46f9-a943-3f4d79831d54"",""deployment"":""02f4fca2-6af3-45b3-abed-e7154b57f8a7"",""replica"":""e73f9353-f0f3-4a75-a929-36ab75c9f0ee""}",2026-08-14T15:25:58.354214999Z
